,term,sum_weights
1187,disputing,15.79073740456028
2846,shall,15.770612594676152
1550,going,15.697063396350153
848,complete,15.632184859377249
336,access,15.410020009211612
1208,doing,15.396209687284093
2787,saying,15.355933172040125
754,charged,15.298514768232186
2949,state,15.291235025206092
3038,surprise,15.2740494036588
83,2018,15.261058055677431
2705,resolve,15.227139540813292
2584,refusing,15.192988475172507
3140,transaction,15.177297836003952
1517,furnisher,15.13286967045184
816,come,15.118015521226711
2135,negatively,15.082916266095765
1186,disputes,15.05620184039894
2076,mistake,15.03992003791977
1243,education,14.99405478300485
2294,paying,14.944588355767769
3036,suppression,14.919182719948477
5,100,14.823195174654067
1684,illegal,14.791032178126645
1989,making,14.71837437384813
4,10,14.71225710358726
856,compliant,14.685387118100042
1289,ensure,14.647277354983848
2544,recognize,14.643219590747
1593,hardship,14.631754576130891
2187,obtained,14.600521835113998
493,applications,14.598972999701918
1482,formal,14.5766740368149
2218,online,14.528141516138039
2821,sending,14.519932085573236
441,agreement,14.495869644345403
735,certified,14.369526454093759
711,case,14.311373411650665
2414,problem,14.227986220619877
1726,incorrectly,14.212759955572789
3372,written,14.194271003267282
3274,verifiable,14.131271390738092
2538,recent,14.083823953923321
2174,numbers,14.080543534567063
2803,second,14.024227118197395
2582,refused,14.012606323844293
633,billing,13.977134914212078
343,according,13.975851326240026
1098,demand,13.963154814003687
478,apartment,13.937760430366279
932,continues,13.9366548486686
1953,longer,13.925579552187711
2449,proper,13.86915751879837
2878,single,13.796913020002107
557,attest,13.785378770119655
1062,deed,13.780904590142109
2352,points,13.708808369713891
440,agreed,13.669092334183846
15,1100,13.640650423111106
1934,lived,13.637838731922624
2721,responsible,13.623407591650365
2928,spoke,13.56741835801417
2248,outrageous,13.504974121516616
3172,tx,13.50474966011275
2953,states,13.49899131599794
65,19,13.460286793554374
3031,support,13.442431548097339
1424,feel,13.42797479817864
1471,forbearance,13.385636130623894
1462,fl,13.385291865387824
1955,looked,13.36500631970202
763,checking,13.323552826338059
3040,suspected,13.319562627654447
2588,regards,13.315367592327304
3259,validation,13.249997290578916
715,caught,13.160736492163956
342,accordance,13.147494335070617
3165,try,13.037729563458363
958,corrected,13.035658945491296
2972,stole,13.018726085298876
2788,says,12.996195073981413
214,60,12.99394970690436
2505,rate,12.942255770168911
1817,issues,12.900338293778333
1377,extremely,12.814165825597946
2510,reached,12.810771536306346
2666,representative,12.794259137752416
2896,sold,12.728027131790101
694,came,12.718415785379147
2479,purchase,12.632709342355499
1171,discovered,12.623821465617317
418,affected,12.587308827366714
3221,unverified,12.544329963120454
1890,lending,12.530391875792299
1544,given,12.50880515981887
1309,erroneous,12.497971012239894
1278,encountered,12.480543084233974
2840,settled,12.394458624526374
2633,removal,12.377953440019441
628,best,12.337390999093065
1618,high,12.31032879897697
559,attorney,12.30869951197693
2054,mind,12.292243289880037
1331,evidence,12.282126297011963
2099,monthly,12.260319252467536
3009,successful,12.172439109326138
1888,lender,12.168186595885885
2797,scores,12.164788043828024
2814,seen,12.107531699901012
3164,truth,12.07346317228042
1008,customer,12.005800326172025
414,advised,12.004989102019083
988,cra,11.958106444236753
1300,entries,11.938755490311529
492,application,11.910002330644966
1023,dates,11.881668873736208
1459,fix,11.861067756415208
1017,damaging,11.763852282096813
2041,method,11.75431716232305
986,covid,11.736742787252687
2731,results,11.718997726342216
19,120,11.605222238351397
419,affecting,11.531895923983704
3357,work,11.527469626259455
2974,stop,11.499334074864269
1007,currently,11.48026725701086
1933,live,11.471483383885788
2193,occasions,11.3952101780994
446,alert,11.361727309784797
1114,deptedxxxx,11.352983981194777
22,13,11.348925310488994
233,623,11.348883571601384
922,contacting,11.304805375180276
2160,note,11.272440595449146
226,611,11.263427353381537
367,acquire,11.185067055210792
3171,twice,11.125880299535647
1942,local,11.099220195061182
3173,type,11.041566973513817
995,credited,11.026712859843911
1976,mailed,10.968415452747397
2537,receiving,10.958315098194024
3161,true,10.954144008983116
3257,validated,10.947378571290532
2504,ran,10.942925587160236
222,609,10.920408973076583
765,child,10.908786642352627
3111,timely,10.879393471727388
850,completely,10.868466084420989
20,1200,10.837558150731772
379,acts,10.776026656954095
383,added,10.761689733084433
485,appear,10.753416593569332
2786,say,10.712755447474173
2432,program,10.629286455504333
2279,partial,10.628013692590232
2553,records,10.619523431273324
2023,medical,10.608816988805561
2483,purged,10.57768957271701
3002,subsection,10.564740419210908
2403,previously,10.537265177341169
693,calls,10.530213732688312
2581,refuse,10.489928335016115
3196,unfair,10.488619077025747
1157,directly,10.400555317318153
2338,plaintiff,10.37940184046801
3290,violated,10.369802153272976
2268,page,10.369466682656423
1481,form,10.36597514859289
1584,happen,10.354113895049323
456,allow,10.337207033956291
1044,debts,10.30130910580789
788,clear,10.29880910876488
2455,protection,10.281226183954892
1597,harming,10.25218965068768
1651,house,10.251701964911057
2402,previous,10.248581297335388
3326,website,10.197754198005143
498,appreciate,10.160496361784725
2521,really,10.147280621076042
1901,license,10.140285156422511
3061,taxes,10.11971344510219
40,1666,10.108558855874488
705,careful,10.076493548283459
1404,family,10.075710934205155
1439,filing,10.049236207239218
41,1666b,10.045410649795292
463,amendments,10.045410649795292
2078,mistakes,10.019009276775714
2056,mines,9.949532914570144
520,asap,9.897119397772018
2970,steps,9.89033322660617
744,change,9.880815188187276
767,choice,9.875230479096919
1956,looking,9.860132556089821
1131,details,9.808121853716521
1230,dropped,9.796806251155143
2235,order,9.784554958224588
3084,thats,9.76502400416423
1116,derogatories,9.73709634468993
2858,showed,9.73224134026525
1425,fees,9.728412209046509
2946,started,9.720358319548168
2216,ones,9.670984198823064
1824,job,9.666165591653968
322,ability,9.654781035663655
1518,furnishers,9.654499566758364
1199,dob,9.653317706557736
1220,dpt,9.652958522640013
919,consumers,9.651555114600257
2526,reasonable,9.651008140557156
1436,files,9.618732662537695
3199,union,9.616714082362662
2469,public,9.602724754629927
2304,people,9.57851183322809
825,commission,9.569363940066884
2841,settlement,9.550307921517431
1795,invalid,9.540620867747284
1093,delinquency,9.53475831986491
1798,investigated,9.532003802947958
2031,mentioned,9.530156358445916
682,buy,9.501513336890829
2583,refuses,9.499544897688981
1162,discharged,9.498429407107004
3320,wasn,9.497259733351001
3241,user,9.496173153212187
2351,point,9.449021813208077
914,consultant,9.436689686748041
950,copies,9.418741600069758
2410,prior,9.411214741305203
378,activity,9.402822971408716
1585,happened,9.351986590722376
1962,lost,9.34967750149761
755,chargeoff,9.275716370758271
2203,office,9.231075185910047
166,420,9.225601663912075
1460,fixed,9.221469615928891
1874,lease,9.215892877535117
617,behalf,9.208981462160393
2829,seriously,9.205639696368884
2572,reflect,9.169933711153433
1693,impacted,9.169669363703001
1659,hurting,9.166055067008829
745,changed,9.163634859698442
1552,gone,9.113748105703905
556,attention,9.109420105076051
538,associated,9.056175839943137
1280,end,9.038993517695477
457,allowed,8.999704178214339
189,500,8.969151710399826
59,1700,8.933008369467375
553,attempts,8.871531076821302
297,90,8.86943320888183
160,400,8.861810728639107
794,close,8.85499806671494
851,completeness,8.835831739594898
